text,sentiment,words
great taste  calorie bag,1,"['great', 'tast', 'calori', 'bag']"
delicious,1,['delici']
moores marinade gluten low sodium msg free,1,"['moor', 'marinad', 'gluten', 'low', 'sodium', 'msg', 'free']"
kind potato steak,1,"['kind', 'potato', 'steak']"
worthy every,1,"['worthi', 'everi']"
best,1,['best']
love snack,1,"['love', 'snack']"
delicious,1,['delici']
tasted better loose leaf rooibos,1,"['tast', 'better', 'loo', 'leaf', 'rooibo']"
puppy dogs love,1,"['puppi', 'dog', 'love']"
liver biscotti rules house,1,"['liver', 'biscotti', 'rule', 'hous']"
crispy crunchy robust,1,"['crispi', 'crunchi', 'robust']"
love love love,1,"['love', 'love', 'love']"
adorable basketmakes nice presentation,1,"['ador', 'basketmak', 'nice', 'present']"
stonewall kitchen pancake mix,1,"['stonewal', 'kitchen', 'pancak', 'mix']"
best,1,['best']
home delivered twizlers,1,"['home', 'deliv', 'twizler']"
broken creamers,1,"['broken', 'creamer']"
stale cheap,1,"['stale', 'cheap']"
beautiful fresh came easrlyv yey,1,"['beauti', 'fresh', 'came', 'easrlyv', 'yey']"
minty flavor,1,"['minti', 'flavor']"
excellent dog treats,1,"['excel', 'dog', 'treat']"
low carb angel food puffs,-1,"['low', 'carb', 'angel', 'food', 'puff']"
vendor ripped cultures vendors,-1,"['vendor', 'rip', 'cultur', 'vendor']"
taste thai coconut ginger soup,1,"['tast', 'thai', 'coconut', 'ginger', 'soup']"
cats love,1,"['cat', 'love']"
marleys mellow mood lite half tea half lemonade,1,"['marley', 'mellow', 'mood', 'lite', 'half', 'tea', 'half', 'lemonad']"
great deal convenient,1,"['great', 'deal', 'conveni']"
variety pack packed lunches,1,"['varieti', 'pack', 'pack', 'lunch']"
sea salt,1,"['sea', 'salt']"
low calories high taste,1,"['low', 'calori', 'high', 'tast']"
never got,-1,"['never', 'got']"
great source electrolytes,1,"['great', 'sourc', 'electrolyt']"
allday energy,1,"['allday', 'energi']"
wonderful breakfast snacks,1,"['wonder', 'breakfast', 'snack']"
great waffle mix,1,"['great', 'waffl', 'mix']"
stash premium mint green iced tea powder,-1,"['stash', 'premium', 'mint', 'green', 'ice', 'tea', 'powder']"
kettle sold horrible,-1,"['kettl', 'sold', 'horribl']"
poor taste,-1,"['poor', 'tast']"
great tasty,1,"['great', 'tasti']"
pop variety,1,"['pop', 'varieti']"
one best,1,"['one', 'best']"
hot,-1,['hot']
great hot sauce,1,"['great', 'hot', 'sauc']"
great snack,1,"['great', 'snack']"
oldest soft drink still best,1,"['oldest', 'soft', 'drink', 'still', 'best']"
dogs love,1,"['dog', 'love']"
stuff,1,['stuff']
,1,[]
costa rican export coffee,1,"['costa', 'rican', 'export', 'coffe']"
dressing,1,['dress']
tastes ok bits shells,-1,"['tast', 'ok', 'bit', 'shell']"
best way buy kcups,1,"['best', 'way', 'buy', 'kcup']"
great gag gift,1,"['great', 'gag', 'gift']"
great idea pain open close,-1,"['great', 'idea', 'pain', 'open', 'close']"
great stuff,1,"['great', 'stuff']"
please think twice,-1,"['plea', 'think', 'twice']"
candy,1,['candi']
uncle rays without much taste,-1,"['uncl', 'ray', 'without', 'much', 'tast']"
great unique,1,"['great', 'uniqu']"
pop great,1,"['pop', 'great']"
royal canin cocker,1,"['royal', 'canin', 'cocker']"
perfect treat,1,"['perfect', 'treat']"
great back day teen,1,"['great', 'back', 'day', 'teen']"
strictly best,1,"['strict', 'best']"
popchips,1,['popchip']
summer items,-1,"['summer', 'item']"
natural energy boost,1,"['natur', 'energi', 'boost']"
great tasting cocoa powder,1,"['great', 'tast', 'cocoa', 'powder']"
outrageous,1,['outrag']
excellent,1,['excel']
great dessert,1,"['great', 'dessert']"
dont buy product unless looking shredded coconut,-1,"['dont', 'buy', 'product', 'unless', 'look', 'shred', 'coconut']"
cereal,1,['cereal']
lovely,1,['love']
cuttiest gum century,1,"['cuttiest', 'gum', 'centuri']"
sweetly satisfying,1,"['sweet', 'satisfi']"
great natural potatoe low calories,1,"['great', 'natur', 'potato', 'low', 'calori']"
great alternative fried,1,"['great', 'altern', 'fri']"
best,1,['best']
okay weird flavors,-1,"['okay', 'weird', 'flavor']"
best white gravy,1,"['best', 'white', 'gravi']"
sugar substitute,1,"['sugar', 'substitut']"
keeps dentest chair,1,"['keep', 'dentest', 'chair']"
simply wild chick brown rice cats,1,"['simpli', 'wild', 'chick', 'brown', 'rice', 'cat']"
never paid much,1,"['never', 'paid', 'much']"
stuff,1,['stuff']
bad little hard get used,1,"['bad', 'littl', 'hard', 'get', 'use']"
mona lisa,-1,"['mona', 'lisa']"
jarred baby food son ate,1,"['jar', 'babi', 'food', 'son', 'ate']"
youll go nuts asskickin peanuts,1,"['youll', 'go', 'nut', 'asskickin', 'peanut']"
potato yummy,1,"['potato', 'yummi']"
huge success,1,"['huge', 'success']"
yuck,-1,['yuck']
,1,[]
excellent perfect,1,"['excel', 'perfect']"
altoids,1,['altoid']
cant go wrong,1,"['cant', 'go', 'wrong']"
love first bite,1,"['love', 'first', 'bite']"
altoids mini mints tins,1,"['altoid', 'mini', 'mint', 'tin']"
kiss salt,1,"['kiss', 'salt']"
,1,[]
jacks treats,1,"['jack', 'treat']"
far,1,['far']
soda,1,['soda']
happily home,1,"['happili', 'home']"
great,1,['great']
much flavor farts smell like sweet onions,1,"['much', 'flavor', 'fart', 'smell', 'like', 'sweet', 'onion']"
excellent,1,['excel']
perversion taste,-1,"['pervers', 'tast']"
loved tartlets,1,"['love', 'tartlet']"
nicely packaged serving,1,"['nice', 'packag', 'serv']"
nice flavorful tea purist black tea addict,1,"['nice', 'flavor', 'tea', 'purist', 'black', 'tea', 'addict']"
great,1,['great']
great candy family loved,1,"['great', 'candi', 'famili', 'love']"
great deal great tea,1,"['great', 'deal', 'great', 'tea']"
pop chipsyummy,1,"['pop', 'chipsyummi']"
always fresh,1,"['alway', 'fresh']"
inside corroded,-1,"['insid', 'corrod']"
overfried,-1,['overfri']
pop goodness,1,"['pop', 'good']"
product great price insane,-1,"['product', 'great', 'price', 'insan']"
awful,-1,['aw']
pineapple flavored coconut water indonesia theres something really need,-1,"['pineappl', 'flavor', 'coconut', 'water', 'indonesia', 'there', 'someth', 'realli', 'need']"
amazing,1,['amaz']
yummy,1,['yummi']
great option keeping fruit work,1,"['great', 'option', 'keep', 'fruit', 'work']"
great snack,1,"['great', 'snack']"
berry flavor excellent price,1,"['berri', 'flavor', 'excel', 'price']"
timely delivery,1,"['time', 'deliveri']"
aunts favorite,1,"['aunt', 'favorit']"
baby didnt like,-1,"['babi', 'didnt', 'like']"
nice condiment,1,"['nice', 'condiment']"
cheese,1,['chees']
jeremiahs pick great coffee,1,"['jeremiah', 'pick', 'great', 'coffe']"
perfect sampler milka chocolate,1,"['perfect', 'sampler', 'milka', 'chocol']"
perfect glutenfree chocolate cookies,1,"['perfect', 'glutenfre', 'chocol', 'cooki']"
al stash iced teas best still,-1,"['al', 'stash', 'ice', 'tea', 'best', 'still']"
yummy alternative highfat,1,"['yummi', 'altern', 'highfat']"
awful,-1,['aw']
could,-1,['could']
fabulous,1,['fabul']
thought exceptional,1,"['thought', 'except']"
tictacyum,1,['tictacyum']
never go back senseo pods long available,1,"['never', 'go', 'back', 'senseo', 'pod', 'long', 'avail']"
disappointment,-1,['disappoint']
wasting vinegar cucumber shame,1,"['wast', 'vinegar', 'cucumb', 'shame']"
nice snack,1,"['nice', 'snack']"
forget molecular gastronomy stuff rockes coffee creamer,1,"['forget', 'molecular', 'gastronomi', 'stuff', 'rock', 'coffe', 'creamer']"
picky eater loves flavors,1,"['picki', 'eater', 'love', 'flavor']"
definately  stars deeelicious,1,"['defin', 'star', 'deeelici']"
perfect english bulldog allergies,1,"['perfect', 'english', 'bulldog', 'allergi']"
snack choice,1,"['snack', 'choic']"
surprise,1,['surpris']
sauce shiznit,1,"['sauc', 'shiznit']"
soooooo,1,['soooooo']
dog sheds less,1,"['dog', 'shed', 'le']"
false advertising,-1,"['fals', 'advertis']"
best soy sauce ever,1,"['best', 'soy', 'sauc', 'ever']"
great service,1,"['great', 'servic']"
awesome deal,1,"['awesom', 'deal']"
huge hit office,1,"['huge', 'hit', 'offic']"
best roast ever,1,"['best', 'roast', 'ever']"
great starting pack,1,"['great', 'start', 'pack']"
tastes great cheaper locally,1,"['tast', 'great', 'cheaper', 'local']"
could use,1,"['could', 'use']"
really,1,['realli']
excellent,1,['excel']
one best salsas,1,"['one', 'best', 'salsa']"
pop,1,['pop']
fresh tasty,1,"['fresh', 'tasti']"
wilted hopes,-1,"['wilt', 'hope']"
fun poppingcrispy sticks dipped chocolate special treat manga fans find local wait till fall,1,"['fun', 'poppingcrispi', 'stick', 'dip', 'chocol', 'special', 'treat', 'manga', 'fan', 'find', 'local', 'wait', 'till', 'fall']"
basic mix,1,"['basic', 'mix']"
best waffle mix,1,"['best', 'waffl', 'mix']"
great flavor shipped fast,1,"['great', 'flavor', 'ship', 'fast']"
satisfies salty snack craving,1,"['satisfi', 'salti', 'snack', 'crave']"
worth,-1,['worth']
delicious alternative greasy traditional,1,"['delici', 'altern', 'greasi', 'tradit']"
product made china,-1,"['product', 'made', 'china']"
yorkiepoo loves,1,"['yorkiepoo', 'love']"
spicy,1,['spici']
topchips,1,['topchip']
theyre pretty,1,"['theyr', 'pretti']"
misleading product want bees use,-1,"['mislead', 'product', 'want', 'bee', 'use']"
love taro,1,"['love', 'taro']"
sour,-1,['sour']
perfect,1,['perfect']
could give rating onestar,-1,"['could', 'give', 'rate', 'onestar']"
favorite,1,['favorit']
product better price elsewhere,1,"['product', 'better', 'price', 'elsewher']"
,1,[]
eh,-1,['eh']
perfect cockers,1,"['perfect', 'cocker']"
maybe batch,-1,"['mayb', 'batch']"
stash tea powder review,-1,"['stash', 'tea', 'powder', 'review']"
garbage,-1,['garbag']
awful,-1,['aw']
best ever,1,"['best', 'ever']"
price correct,-1,"['price', 'correct']"
great stuff,1,"['great', 'stuff']"
barb,1,['barb']
deliciousyet companions wont touch,1,"['deliciousyet', 'companion', 'wont', 'touch']"
great taste great price,1,"['great', 'tast', 'great', 'price']"
melts mouth,1,"['melt', 'mouth']"
makes nasty loose poo,-1,"['make', 'nasti', 'loo', 'poo']"
say yum,1,"['say', 'yum']"
people bought meh,-1,"['peopl', 'bought', 'meh']"
one bite youll become chippoisseur,1,"['one', 'bite', 'youll', 'becom', 'chippoisseur']"
best coffee,1,"['best', 'coffe']"
dont defeat purpose eating two bags,1,"['dont', 'defeat', 'purpos', 'eat', 'two', 'bag']"
easy single lifestyle,1,"['easi', 'singl', 'lifestyl']"
disappointed first farmhouse pancake,-1,"['disappoint', 'first', 'farmhous', 'pancak']"
great training,1,"['great', 'train']"
great hot sauce people run,1,"['great', 'hot', 'sauc', 'peopl', 'run']"
great tasting snackif get japanese pocky,1,"['great', 'tast', 'snackif', 'get', 'japanes', 'pocki']"
everyone try least,1,"['everyon', 'tri', 'least']"
double pleasure,1,"['doubl', 'pleasur']"
best,1,['best']
great beans,1,"['great', 'bean']"
great snack,1,"['great', 'snack']"
cherry couldnt find stores,1,"['cherri', 'couldnt', 'find', 'store']"
boy bubble gum,-1,"['boy', 'bubbl', 'gum']"
cat likes,1,"['cat', 'like']"
tastes great iced drinks,1,"['tast', 'great', 'ice', 'drink']"
dogs go crazy,1,"['dog', 'go', 'crazi']"
like picture,-1,"['like', 'pictur']"
delicious,1,['delici']
awesome cereal,1,"['awesom', 'cereal']"
container could better,1,"['contain', 'could', 'better']"
orgasmic,1,['orgasm']
uncle rays kosher dill potato,1,"['uncl', 'ray', 'kosher', 'dill', 'potato']"
definite pop baked fried,1,"['definit', 'pop', 'bake', 'fri']"
fabulous amazon,1,"['fabul', 'amazon']"
quick easy tasty,1,"['quick', 'easi', 'tasti']"
 stars could yuk yuk yuk,-1,"['star', 'could', 'yuk', 'yuk', 'yuk']"
yummy tummy,1,"['yummi', 'tummi']"
true,1,['true']
would give harmony farms extra stars could,1,"['would', 'give', 'harmoni', 'farm', 'extra', 'star', 'could']"
perfect ww followers,1,"['perfect', 'ww', 'follow']"
best pancakes life,1,"['best', 'pancak', 'life']"
yum,1,['yum']
yummy,1,['yummi']
disgusting,-1,['disgust']
awful taste,-1,"['aw', 'tast']"
yes real excellent coffee,1,"['yes', 'real', 'excel', 'coffe']"
great product,1,"['great', 'product']"
product received actual product may carry health risks comsumers,-1,"['product', 'receiv', 'actual', 'product', 'may', 'carri', 'health', 'risk', 'comsum']"
weigh  oz  fluid ounces,1,"['weigh', 'oz', 'fluid', 'ounc']"
yummmmy,1,['yummmmi']
delicious black jelly beans,1,"['delici', 'black', 'jelli', 'bean']"
dont waste money,-1,"['dont', 'wast', 'money']"
uncle rays bbq best,1,"['uncl', 'ray', 'bbq', 'best']"
great taste convenience,1,"['great', 'tast', 'conveni']"
didnt well dog,-1,"['didnt', 'well', 'dog']"
miss salt,1,"['miss', 'salt']"
mouth strong anus weaker,1,"['mouth', 'strong', 'anus', 'weaker']"
fantastic,1,['fantast']
overall,1,['overal']
best flavor,1,"['best', 'flavor']"
care liked bbq wondering bestsellers,-1,"['care', 'like', 'bbq', 'wonder', 'bestsel']"
healthier better tasting option,1,"['healthier', 'better', 'tast', 'option']"
happy,1,['happi']
family loved,1,"['famili', 'love']"
even like kettle love,1,"['even', 'like', 'kettl', 'love']"
kettle organic chipotle potato,1,"['kettl', 'organ', 'chipotl', 'potato']"
great idea,1,"['great', 'idea']"
love,1,['love']
fanfreakintastic,1,['fanfreakintast']
rave reviews favorite vegetable,1,"['rave', 'review', 'favorit', 'veget']"
made china,-1,"['made', 'china']"
found solution open,-1,"['found', 'solut', 'open']"
happy pocky sticks,1,"['happi', 'pocki', 'stick']"
create exquisite cake decorations,1,"['creat', 'exquisit', 'cake', 'decor']"
burns skin lips,-1,"['burn', 'skin', 'lip']"
wrong product,-1,"['wrong', 'product']"
spicy,1,['spici']
yummy,1,['yummi']
great irish oatmeal hurry,1,"['great', 'irish', 'oatmeal', 'hurri']"
one sons favorites,1,"['one', 'son', 'favorit']"
perfect waffles,1,"['perfect', 'waffl']"
excellent tea,1,"['excel', 'tea']"
fantastic chicken noodle soup,1,"['fantast', 'chicken', 'noodl', 'soup']"
pringles instant coffee stephen baldwin,-1,"['pringl', 'instant', 'coffe', 'stephen', 'baldwin']"
pocky sticks together,-1,"['pocki', 'stick', 'togeth']"
best ever,1,"['best', 'ever']"
tasty perfect sized,1,"['tasti', 'perfect', 'size']"
cook serve choc fudge pudding,-1,"['cook', 'serv', 'choc', 'fudg', 'pud']"
hard find tea,1,"['hard', 'find', 'tea']"
awesome sauce,1,"['awesom', 'sauc']"
great snack,1,"['great', 'snack']"
great coffee terrible price,1,"['great', 'coffe', 'terribl', 'price']"
great product price,1,"['great', 'product', 'price']"
great product great price,1,"['great', 'product', 'great', 'price']"
small hard open,-1,"['small', 'hard', 'open']"
totally fantastic,1,"['total', 'fantast']"
addictive potato,1,"['addict', 'potato']"
,1,[]
delicious,1,['delici']
loved,1,['love']
delicious healthy,1,"['delici', 'healthi']"
 calories yumminess,1,"['calori', 'yummi']"
yum,1,['yum']
best canned fruit ever eatten,1,"['best', 'can', 'fruit', 'ever', 'eatten']"
sons nd favorite dish,1,"['son', 'nd', 'favorit', 'dish']"
choice,1,['choic']
perfect size,1,"['perfect', 'size']"
love colors,1,"['love', 'color']"
awesome delicious,1,"['awesom', 'delici']"
big tub salt,1,"['big', 'tub', 'salt']"
,1,[]
lovely,1,['love']
great tasting,1,"['great', 'tast']"
tasty,1,['tasti']
avoid seloler,-1,"['avoid', 'selol']"
like spice get,1,"['like', 'spice', 'get']"
great hot new flavor,1,"['great', 'hot', 'new', 'flavor']"
pocky,1,['pocki']
best snack food,1,"['best', 'snack', 'food']"
bad,1,['bad']
fantastic coffee,1,"['fantast', 'coffe']"
moms dads beware plastic food,-1,"['mom', 'dad', 'bewar', 'plastic', 'food']"
expected,-1,['expect']
another great experience amazon,1,"['anoth', 'great', 'experi', 'amazon']"
great dipping chocolate right microwave,1,"['great', 'dip', 'chocol', 'right', 'microwav']"
super superfoods super easy,1,"['super', 'superfood', 'super', 'easi']"
soo,1,['soo']
glad find  oz size,1,"['glad', 'find', 'oz', 'size']"
best stevia product ever used,1,"['best', 'stevia', 'product', 'ever', 'use']"
want gaain twenty pounds control whatsoever buy,1,"['want', 'gaain', 'twenti', 'pound', 'control', 'whatsoev', 'buy']"
tea flavor,-1,"['tea', 'flavor']"
love kettle flavor,-1,"['love', 'kettl', 'flavor']"
fibergourmet light penne,1,"['fibergourmet', 'light', 'penn']"
excellent,1,['excel']
palatable healthy,1,"['palat', 'healthi']"
yummy yummies,1,"['yummi', 'yummi']"
hope got bad batch,-1,"['hope', 'got', 'bad', 'batch']"
best tea ever,1,"['best', 'tea', 'ever']"
city steam much steam brew,-1,"['citi', 'steam', 'much', 'steam', 'brew']"
roasts smooth brew,1,"['roast', 'smooth', 'brew']"
pleasedont waste money,-1,"['pleasedont', 'wast', 'money']"
nice little mints pricey,1,"['nice', 'littl', 'mint', 'pricey']"
doesnt taste,-1,"['doesnt', 'tast']"
burnt toast,-1,"['burnt', 'toast']"
picture misleading,-1,"['pictur', 'mislead']"
delicious,1,['delici']
crunch wow,1,"['crunch', 'wow']"
spectrum naturals walnut oil refined,1,"['spectrum', 'natur', 'walnut', 'oil', 'refin']"
pop best,1,"['pop', 'best']"
runny oddtasting,-1,"['runni', 'oddtast']"
frenchs roastn bags,1,"['french', 'roastn', 'bag']"
great spicy flavor,1,"['great', 'spici', 'flavor']"
famous reason,1,"['famous', 'reason']"
delicious,1,['delici']
something changed,-1,"['someth', 'chang']"
delicious easy,1,"['delici', 'easi']"
price right,1,"['price', 'right']"
awsome kids neighborhood loved us,1,"['awsom', 'kid', 'neighborhood', 'love', 'u']"
awful,-1,['aw']
extremely disappointing,-1,"['extrem', 'disappoint']"
ingredient list,-1,"['ingredi', 'list']"
great buy,1,"['great', 'buy']"
love tasty,1,"['love', 'tasti']"
healthful treat dogs,1,"['health', 'treat', 'dog']"
healthy delicious,1,"['healthi', 'delici']"
stuff,1,['stuff']
excellent alternative artificial sweetners,1,"['excel', 'altern', 'artifici', 'sweetner']"
way weak tastes,-1,"['way', 'weak', 'tast']"
bbq terrific,1,"['bbq', 'terrif']"
plockys three grain tortilla,1,"['plocki', 'three', 'grain', 'tortilla']"
disgusting,-1,['disgust']
shipping,-1,['ship']
king seasoning salts,1,"['king', 'season', 'salt']"
college student gourmet,1,"['colleg', 'student', 'gourmet']"
waffles schmaffles,1,"['waffl', 'schmaffl']"
crunchy tasty,1,"['crunchi', 'tasti']"
great bargain price,1,"['great', 'bargain', 'price']"
disappointed,-1,['disappoint']
best ahmad tea,1,"['best', 'ahmad', 'tea']"
excellent productlife saver,1,"['excel', 'productlif', 'saver']"
smooth coffee highly recommended,1,"['smooth', 'coffe', 'high', 'recommend']"
cheap imitation buy,-1,"['cheap', 'imit', 'buy']"
love pop,1,"['love', 'pop']"
great tasting sea salt iodine,1,"['great', 'tast', 'sea', 'salt', 'iodin']"
damaged merchandise,-1,"['damag', 'merchandis']"
tastes,1,['tast']
great choice little dogs,1,"['great', 'choic', 'littl', 'dog']"
scottie,1,['scotti']
wonderful food perfect allergic kitties,1,"['wonder', 'food', 'perfect', 'allerg', 'kitti']"
great gum,1,"['great', 'gum']"
great product,1,"['great', 'product']"
chocolate heaven,1,"['chocol', 'heaven']"
great candy,1,"['great', 'candi']"
taters,1,['tater']
favorite earl grey tea,1,"['favorit', 'earl', 'grey', 'tea']"
warning reviews reflect actual product feb  ,-1,"['warn', 'review', 'reflect', 'actual', 'product', 'feb']"
pretty expensive,1,"['pretti', 'expens']"
really,1,['realli']
ricore forever,1,"['ricor', 'forev']"
product terrible agricultural practices,1,"['product', 'terribl', 'agricultur', 'practic']"
oily lacks flavor,-1,"['oili', 'lack', 'flavor']"
addictive,1,['addict']
stylish saver,1,"['stylish', 'saver']"
great tea price,1,"['great', 'tea', 'price']"
like taste,-1,"['like', 'tast']"
best energy shot,1,"['best', 'energi', 'shot']"
coffee,1,['coffe']
yummy,1,['yummi']
expensive online,1,"['expens', 'onlin']"
great snack,1,"['great', 'snack']"
one bite youll become chippoisseur,1,"['one', 'bite', 'youll', 'becom', 'chippoisseur']"
great way order,1,"['great', 'way', 'order']"
best,1,['best']
sassafrass tea,1,"['sassafras', 'tea']"
great taste size smaller,1,"['great', 'tast', 'size', 'smaller']"
loved,1,['love']
salt vinegar,-1,"['salt', 'vinegar']"
excellent coffee,1,"['excel', 'coffe']"
broken bottle bottoms,-1,"['broken', 'bottl', 'bottom']"
weird flavors,-1,"['weird', 'flavor']"
taste average insanely expensive,-1,"['tast', 'averag', 'insan', 'expens']"
pop,1,['pop']
,-1,[]
training treat,1,"['train', 'treat']"
yummy,1,['yummi']
delicious hard find,1,"['delici', 'hard', 'find']"
incorrect packaging,-1,"['incorrect', 'packag']"
salt vinegar bbq rock,1,"['salt', 'vinegar', 'bbq', 'rock']"
surprising find,1,"['surpris', 'find']"
delicious right amount,1,"['delici', 'right', 'amount']"
everyone love,1,"['everyon', 'love']"
tasty,-1,['tasti']
another husband favorite,1,"['anoth', 'husband', 'favorit']"
much,-1,['much']
surprised layer fat top contents,-1,"['surpris', 'layer', 'fat', 'top', 'content']"
thai green curry,1,"['thai', 'green', 'curri']"
best belgian waffles time,1,"['best', 'belgian', 'waffl', 'time']"
lucys treats,1,"['luci', 'treat']"
chicken noodle,1,"['chicken', 'noodl']"
popchips new favorite snack,1,"['popchip', 'new', 'favorit', 'snack']"
amazing taste best ever,1,"['amaz', 'tast', 'best', 'ever']"
big disappointment,-1,"['big', 'disappoint']"
fan,-1,['fan']
best,1,['best']
awesome stuff,1,"['awesom', 'stuff']"
makes everything better,1,"['make', 'everyth', 'better']"
delicious,1,['delici']
unique flavor fans thai food,1,"['uniqu', 'flavor', 'fan', 'thai', 'food']"
pancakes lots work,1,"['pancak', 'lot', 'work']"
yummm,1,['yummm']
bleh cane juice rd ingred list,-1,"['bleh', 'cane', 'juic', 'rd', 'ingr', 'list']"
stuff sooooo,1,"['stuff', 'sooooo']"
great stuff,1,"['great', 'stuff']"
happened recipe changed,-1,"['happen', 'recip', 'chang']"
great substitute,1,"['great', 'substitut']"
spicy thai,1,"['spici', 'thai']"
way weak tastes,-1,"['way', 'weak', 'tast']"
caramel chocolate,1,"['caramel', 'chocol']"
lover,1,['lover']
delicious,1,['delici']
hard find cereal found,1,"['hard', 'find', 'cereal', 'found']"
needs salsa taste,1,"['need', 'salsa', 'tast']"
tic tac,1,"['tic', 'tac']"
licorice,1,['licoric']
firm quality,1,"['firm', 'qualiti']"
better anything supermarket,1,"['better', 'anyth', 'supermarket']"
snob alert,1,"['snob', 'alert']"
buying,1,['buy']
delicious,1,['delici']
yummy,1,['yummi']
,1,[]
realemon juice amazon,1,"['realemon', 'juic', 'amazon']"
bags salt added,-1,"['bag', 'salt', 'ad']"
geat product,1,"['geat', 'product']"
yuck,-1,['yuck']
stonewall kitchen pancake waffle mix grrrrrreat,1,"['stonewal', 'kitchen', 'pancak', 'waffl', 'mix', 'grrrrrreat']"
sweet salty tangy way snack,1,"['sweet', 'salti', 'tangi', 'way', 'snack']"
edible,-1,['edibl']
great dog food,1,"['great', 'dog', 'food']"
taste,1,['tast']
,1,[]
love stuff,1,"['love', 'stuff']"
caramel fantastic,1,"['caramel', 'fantast']"
great gummi,1,"['great', 'gummi']"
deeeelicious,1,['deeeelici']
fun game,1,"['fun', 'game']"
best,1,['best']
false advertising,-1,"['fals', 'advertis']"
caveat emptor disappointing,-1,"['caveat', 'emptor', 'disappoint']"
pretty delicious,1,"['pretti', 'delici']"
put sleep,-1,"['put', 'sleep']"
organic label misleading,-1,"['organ', 'label', 'mislead']"
halfempty cans greasy inconsistent ingredients,-1,"['halfempti', 'can', 'greasi', 'inconsist', 'ingredi']"
best vanilla custard ever,1,"['best', 'vanilla', 'custard', 'ever']"
family breakfast grand kids kids  us,1,"['famili', 'breakfast', 'grand', 'kid', 'kid', 'u']"
great taste,1,"['great', 'tast']"
great tasting little treats,1,"['great', 'tast', 'littl', 'treat']"
jittery lacks body,-1,"['jitteri', 'lack', 'bodi']"
make day,1,"['make', 'day']"
solves colic within one day corn syrupbased,-1,"['solv', 'colic', 'within', 'one', 'day', 'corn', 'syrupbas']"
